,cntHb,channel,taskLabel
0,-0.000761834029646353,1.0,1.0
1,-0.00104295158437163,1.0,1.0
2,-0.00132364374328504,1.0,1.0
3,-0.0016036501013705,1.0,1.0
4,-0.00188271271685394,1.0,1.0
5,-0.00216057665728058,1.0,1.0
6,-0.00243699050911601,1.0,1.0
7,-0.00271170684890201,1.0,1.0
8,-0.00298448267551556,1.0,1.0
9,-0.00325507980880389,1.0,1.0
10,-0.00352326526711022,1.0,1.0
11,-0.00378881163678819,1.0,1.0
12,-0.00405149743930864,1.0,1.0
13,-0.00431110749289888,1.0,1.0
14,-0.00456743326246324,1.0,1.0
15,-0.00482027319290413,1.0,1.0
16,-0.00506943302099961,1.0,1.0
17,-0.00531472605778267,1.0,1.0
18,-0.00555597343123417,1.0,1.0
19,-0.00579300428341434,1.0,1.0
20,-0.00602565592697948,1.0,1.0
21,-0.00625377397575146,1.0,1.0
22,-0.006477212464508,1.0,1.0
23,-0.00669583396511606,1.0,1.0
24,-0.0069095096972958,1.0,1.0
25,-0.00711811962802604,1.0,1.0
26,-0.00732155255300933,1.0,1.0
27,-0.00751970615379487,1.0,1.0
28,-0.00789981065743828,1.0,2.0
29,-0.00808160139726273,1.0,2.0
30,-0.0082577923473332,1.0,2.0
31,-0.00842832526192446,1.0,2.0
32,-0.00859315042502353,1.0,2.0
33,-0.00875222652761657,1.0,2.0
34,-0.00890552054392998,1.0,2.0
35,-0.00905300760423906,1.0,2.0
36,-0.00919467086064292,1.0,2.0
37,-0.00933050134112611,1.0,2.0
38,-0.00946049778622451,1.0,2.0
39,-0.00958466646220497,1.0,2.0
40,-0.00970302094605752,1.0,2.0
41,-0.00981558188316923,1.0,2.0
42,-0.00992237672675748,1.0,2.0
43,-0.0100234394719816,1.0,2.0
44,-0.0101188103937061,1.0,2.0
45,-0.0102085357901973,1.0,2.0
46,-0.0102926677307858,1.0,2.0
47,-0.0103712638035237,1.0,2.0
48,-0.0104443868581031,1.0,2.0
49,-0.0105121047394087,1.0,2.0
50,-0.0105744900065055,1.0,2.0
51,-0.0106316196311301,1.0,2.0
52,-0.0106835746730226,1.0,2.0
53,-0.0107304399377559,1.0,2.0
54,-0.0107723036303239,1.0,2.0
55,-0.0108092570189144,1.0,2.0
56,-0.010891607486463,1.0,3.0
57,-0.0109098829420553,1.0,3.0
58,-0.0109237399524346,1.0,3.0
59,-0.010933282086717,1.0,3.0
60,-0.0109386140141574,1.0,3.0
61,-0.0109398412145831,1.0,3.0
62,-0.0109370696822836,1.0,3.0
63,-0.0109304056343111,1.0,3.0
64,-0.0109199552346137,1.0,3.0
65,-0.0109058243414621,1.0,3.0
66,-0.0108881182807869,1.0,3.0
67,-0.0108669416447361,1.0,3.0
68,-0.0108423981120894,1.0,3.0
69,-0.0108145902834448,1.0,3.0
70,-0.0107836195212319,1.0,3.0
71,-0.0107495857862186,1.0,3.0
72,-0.0107125874678038,1.0,3.0
73,-0.0106727212120199,1.0,3.0
74,-0.010630081756319,1.0,3.0
75,-0.010584761781318,1.0,3.0
76,-0.0105368517862258,1.0,3.0
77,-0.0104864399897451,1.0,3.0
78,-0.0104336122542792,1.0,3.0
79,-0.0103784520286172,1.0,3.0
80,-0.0103210403034997,1.0,3.0
81,-0.0102614555756067,1.0,3.0
82,-0.0101997738166133,1.0,3.0
83,-0.0101360684436765,1.0,3.0
84,-0.0098623880362079,1.0,1.0
85,-0.00978957443515285,1.0,1.0
86,-0.00971512273280561,1.0,1.0
87,-0.00963908811196974,1.0,1.0
88,-0.00956152333796834,1.0,1.0
89,-0.00948247886601121,1.0,1.0
90,-0.0094020029525826,1.0,1.0
91,-0.00932014176300561,1.0,1.0
92,-0.00923693946724386,1.0,1.0
93,-0.00915243832036437,1.0,1.0
94,-0.00906667873338876,1.0,1.0
95,-0.00897969934799939,1.0,1.0
96,-0.00889153712851885,1.0,1.0
97,-0.00880222747872397,1.0,1.0
98,-0.00871180438466557,1.0,1.0
99,-0.00862030057912874,1.0,1.0
100,-0.00852774771942361,1.0,1.0
101,-0.00843417656932431,1.0,1.0
102,-0.00833961717707264,1.0,1.0
103,-0.00824409904227097,1.0,1.0
104,-0.00814765126582272,1.0,1.0
105,-0.00805030268208603,1.0,1.0
106,-0.00795208198082375,1.0,1.0
107,-0.00785301783145498,1.0,1.0
108,-0.0077531390185227,1.0,1.0
109,-0.00765247458928146,1.0,1.0
110,-0.00755105400879409,1.0,1.0
111,-0.00744890731632262,1.0,1.0
112,-0.00713842268635969,1.0,3.0
113,-0.00703368849689612,1.0,3.0
114,-0.00692839187906433,1.0,3.0
115,-0.00682256901118191,1.0,3.0
116,-0.00671625737753338,1.0,3.0
117,-0.00660949581496692,1.0,3.0
118,-0.00650232456158011,1.0,3.0
